#ies_format_version: 1.0
#file: 20250717_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	channel1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	channel1
20250717;	171050;	1752752450.000;	        err8
20250717;	171055;	1752752455.000;	        err8
20250717;	171100;	1752752460.000;	        err8
20250717;	171105;	1752752465.000;	        err8
20250717;	171110;	1752752470.000;	          12
20250717;	171115;	1752752475.000;	          12
20250717;	171120;	1752752480.000;	          12
20250717;	171125;	1752752485.000;	          12
20250717;	171130;	1752752490.000;	          12
20250717;	171135;	1752752495.000;	          12
20250717;	171140;	1752752500.000;	          12
20250717;	171145;	1752752505.000;	          12
20250717;	171150;	1752752510.000;	          12
20250717;	171155;	1752752515.000;	          12
20250717;	171200;	1752752520.000;	          12
20250717;	171205;	1752752525.000;	          12
20250717;	171210;	1752752530.000;	       err32
20250717;	171215;	1752752535.000;	       err32
20250717;	171220;	1752752540.000;	       err32
20250717;	171225;	1752752545.000;	        err8
20250717;	171230;	1752752550.000;	        err9
20250717;	171235;	1752752555.000;	        err9
20250717;	171240;	1752752560.000;	        err9
20250717;	171245;	1752752565.000;	        err9
20250717;	171250;	1752752570.000;	        err9
20250717;	171255;	1752752575.000;	        err9
20250717;	171300;	1752752580.000;	        err9
20250717;	171305;	1752752585.000;	        err9
20250717;	171310;	1752752590.000;	        err9
20250717;	171315;	1752752595.000;	        err9
20250717;	171320;	1752752600.000;	        err9
20250717;	171325;	1752752605.000;	        err9
20250717;	171330;	1752752610.000;	        err9
20250717;	171335;	1752752615.000;	        err9
20250717;	171340;	1752752620.000;	       err32
20250717;	171345;	1752752625.000;	       err32
20250717;	171350;	1752752630.000;	       err32
20250717;	171355;	1752752635.000;	       err32
20250717;	171400;	1752752640.000;	       err32
20250717;	171405;	1752752645.000;	        err8
20250717;	171410;	1752752650.000;	        err9
20250717;	171415;	1752752655.000;	        err9
20250717;	171420;	1752752660.000;	        err9
20250717;	171425;	1752752665.000;	        err9
20250717;	171430;	1752752670.000;	        err9
20250717;	171435;	1752752675.000;	        err9
20250717;	171440;	1752752680.000;	        err9
20250717;	171445;	1752752685.000;	        err9
20250717;	171450;	1752752690.000;	        err9
20250717;	171455;	1752752695.000;	        err9
20250717;	171500;	1752752700.000;	        err9
20250717;	171505;	1752752705.000;	        err9
20250717;	171510;	1752752710.000;	        err9
20250717;	171515;	1752752715.000;	        err9
20250717;	171520;	1752752720.000;	        err9
20250717;	171525;	1752752725.000;	        err9
20250717;	171530;	1752752730.000;	        err9
